,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color,year,DEM_Rate,REP_Rate,Metro_DEM_Votes,Metro_REP_Votes,Metro_DEM_Rate,Metro_REP_Rate,Race,2016,2020,% increase,fact,Arizona,Georgia,South Carolina
772,Georgia,Forsyth County,Donald Trump,REP,85123,TRUE,13117,GA,109258,110622,38.3,219880,50.31016918,34.22554325,-84.12502041,red,,,,,,,,,,,,,,,
776,Georgia,Franklin County,Donald Trump,REP,9069,TRUE,13119,GA,10853,11661,41,22514,51.79443902,34.37544017,-83.22915634,red,,,,,,,,,,,,,,,
780,Georgia,Fulton County,Joe Biden,DEM,380212,TRUE,13121,GA,495087,526815,35.4,1021902,51.55239935,33.79028194,-84.46699086,blue,,,,,,,,,,,,,,,
784,Georgia,Gilmer County,Donald Trump,REP,13429,TRUE,13123,GA,15079,14843,46.9,29922,49.60564133,34.69116301,-84.45562504,red,,,,,,,,,,,,,,,
788,Georgia,Glascock County,Donald Trump,REP,1402,TRUE,13125,GA,1438,1571,43.2,3009,52.21003656,33.22928289,-82.61070062,red,,,,,,,,,,,,,,,
792,Georgia,Glynn County,Donald Trump,REP,25617,TRUE,13127,GA,39419,44555,41,83974,53.05808941,31.23089649,-81.54071677,red,,,,,,,,,,,,,,,
796,Georgia,Gordon County,Donald Trump,REP,19405,TRUE,13129,GA,28001,28789,37.8,56790,50.69378412,34.50336057,-84.87570724,red,,,,,,,,,,,,,,,
800,Georgia,Grady County,Donald Trump,REP,7034,TRUE,13131,GA,12176,12750,39.7,24926,51.15140817,30.87466591,-84.23444072,red,,,,,,,,,,,,,,,
804,Georgia,Greene County,Donald Trump,REP,7066,TRUE,13133,GA,8299,8677,49.4,16976,51.11333648,33.57883025,-83.1666706,red,,,,,,,,,,,,,,,
808,Georgia,Gwinnett County,Joe Biden,DEM,241994,TRUE,13135,GA,441051,461247,35.1,902298,51.11914246,33.96172854,-84.0235947,blue,,,,,,,,,,,,,,,
812,Georgia,Habersham County,Donald Trump,REP,16637,TRUE,13137,GA,20962,23327,39.5,44289,52.6699632,34.63102797,-83.53112369,red,,,,,,,,,,,,,,,
816,Georgia,Hall County,Donald Trump,REP,64183,TRUE,13139,GA,97518,98443,36.3,195961,50.23601635,34.31690076,-83.81966681,red,,,,,,,,,,,,,,,
820,Georgia,Hancock County,Joe Biden,DEM,2976,TRUE,13141,GA,5193,3342,46.5,8535,39.15641476,33.27045137,-83.00067259,blue,,,,,,,,,,,,,,,
824,Georgia,Haralson County,Donald Trump,REP,12330,TRUE,13143,GA,14041,14915,40.8,28956,51.50918635,33.79421744,-85.21101885,red,,,,,,,,,,,,,,,
828,Georgia,Harris County,Donald Trump,REP,14319,TRUE,13145,GA,16832,16758,43.1,33590,49.88984817,32.7360391,-84.90889194,red,,,,,,,,,,,,,,,
832,Georgia,Hart County,Donald Trump,REP,9465,TRUE,13147,GA,12558,13073,43.8,25631,51.00464282,34.35083482,-82.96422076,red,,,,,,,,,,,,,,,
836,Georgia,Heard County,Donald Trump,REP,4519,TRUE,13149,GA,5747,5930,41.5,11677,50.78359168,33.29703942,-85.12833608,red,,,,,,,,,,,,,,,
840,Georgia,Henry County,Joe Biden,DEM,73443,TRUE,13151,GA,105759,115548,36.9,221307,52.21163361,33.45300248,-84.15420612,blue,,,,,,,,,,,,,,,
844,Georgia,Houston County,Donald Trump,REP,41540,TRUE,13153,GA,73756,77926,35.3,151682,51.37458631,32.45900725,-83.66622618,red,,,,,,,,,,,,,,,
